date,WBA,isPartial
2011-04-23,39,False
2011-04-24,26,False
2011-04-25,21,False
2011-04-26,22,False
2011-04-27,20,False
2011-04-28,23,False
2011-04-29,22,False
2011-04-30,39,False
2011-05-01,25,False
2011-05-02,18,False
2011-05-03,20,False
2011-05-04,20,False
2011-05-05,23,False
2011-05-06,27,False
2011-05-07,32,False
2011-05-08,54,False
2011-05-09,28,False
2011-05-10,20,False
2011-05-11,20,False
2011-05-12,25,False
2011-05-13,22,False
2011-05-14,34,False
2011-05-15,14,False
2011-05-16,18,False
2011-05-17,19,False
2011-05-18,22,False
2011-05-19,26,False
2011-05-20,26,False
2011-05-21,22,False
2011-05-22,41,False
2011-05-23,29,False
2011-05-24,23,False
2011-05-25,28,False
2011-05-26,24,False
2011-05-27,17,False
2011-05-28,18,False
2011-05-29,26,False
2011-05-30,16,False
2011-05-31,16,False
2011-06-01,12,False
2011-06-02,18,False
2011-06-03,23,False
2011-06-04,19,False
2011-06-05,24,False
2011-06-06,23,False
2011-06-07,27,False
2011-06-08,21,False
2011-06-09,20,False
2011-06-10,24,False
2011-06-11,27,False
2011-06-12,28,False
2011-06-13,32,False
2011-06-14,22,False
2011-06-15,20,False
2011-06-16,26,False
2011-06-17,43,False
2011-06-18,22,False
2011-06-19,24,False
2011-06-20,21,False
2011-06-21,26,False
2011-06-22,21,False
2011-06-23,24,False
2011-06-24,25,False
2011-06-25,28,False
2011-06-26,26,False
2011-06-27,28,False
2011-06-28,38,False
2011-06-29,36,False
2011-06-30,31,False
2011-07-01,19,False
2011-07-02,47,False
2011-07-03,44,False
2011-07-04,24,False
2011-07-05,25,False
2011-07-06,15,False
2011-07-07,19,False
2011-07-08,19,False
2011-07-09,21,False
2011-07-10,25,False
2011-07-11,21,False
2011-07-12,19,False
2011-07-13,21,False
2011-07-14,24,False
2011-07-15,17,False
2011-07-16,17,False
2011-07-17,16,False
2011-07-18,17,False
2011-07-19,18,False
2011-07-20,17,False
2011-07-21,18,False
2011-07-22,17,False
2011-07-23,15,False
2011-07-24,19,False
2011-07-25,15,False
2011-07-26,21,False
2011-07-27,22,False
2011-07-28,18,False
2011-07-29,18,False
2011-07-30,21,False
2011-07-31,16,False
